//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,Unnamed: 121,PIT,SP_Rating,SP_Rating_Normalized,RP_Rating,RP_Rating_Normalized,CL_Rating,CL_Rating_Normalized
Pre-Order Bonus - Hall of Fame SP Jim Palmer BAL 1973,72779,99,4,HOF,,Pre-Order Bonus,1973,N,Baltimore Orioles,BAL,Palmer,Jim,Cakes,The United States,22,15,10,1945,1,1,1,11,42,43,18,36,13,68,29,51,10,30,10,45,47,41,21,38,15,76,1,0,0,28,4,11,29,40,17,78,117,92,110,131,73,126,94,126,128,86,108,90,96,134,73,64,105,114,0,0,0,0,0,0,0,0,94,86,4,0.0,3,191,35,32,34,36,0,0,0,3,7,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,75,0,0,palmeji01,6401,8750,8387,40000,2025-03-14,,12,76.31092190731768,78.24210008281248,74.96830812936618,78.6007624892472,71.52951935370113,75.6776430027276
Snapshot 3B Dean Palmer TEX 1996,71009,68,7,,,,1996,N,Texas Rangers,TEX,Palmer,Dean,,The United States,16,27,12,1968,1,1,5,0,59,67,107,75,55,66,53,64,116,74,56,52,62,69,104,76,55,72,2,0,0,24,4,16,30,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0,3,188,47,55,63,30,0,0,0,9,6,9,0,0,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,5,1,2,0,0,palmede01,32,79,86,660,2025-03-14,,12,2.70189910873873,0.568964688139004,2.6357522877150457,0.6389991000141759,1.9707804582856596,0.8151656021749983
Snapshot 1B Rafael Palmeiro BAL 1996,71128,87,7,,,,1996,N,Baltimore Orioles,BAL,Palmeiro,Rafael,,Cuba,25,24,9,1964,2,2,3,0,77,94,118,95,93,66,85,98,111,80,108,69,76,93,120,100,88,66,2,0,0,35,17,92,38,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,0,0,0,0,0,0,0,0,0,0,0,1,25,2,0.0,4,183,35,48,42,48,0,0,0,4,4,6,0,0,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,15,0,0,palmera01,0,1750,2344,10887,2025-03-14,,12,3.3830381011099733,1.2877108304674199,3.6960773289215467,1.7818428584897923,2.098128680682338,0.952223915372799
All-Time Legend LF Orlando Palmeiro CAL Peak,71387,65,4,,,,1995,Y,California Angels,ANA,Palmeiro,Orlando,,The United States,3,19,1,1969,2,2,7,0,79,60,14,82,112,58,75,57,8,77,115,48,80,62,17,85,111,61,0,1,0,53,35,65,50,92,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0.0,4,180,3,8,1,9,0,0,0,70,103,73,0,0,0,0,0,0,92,59,83,0,0,0,0,0,1,1,1,5,1,2,0,0,palmeor01,0,119,93,594,2025-03-14,,12,2.9750669136792505,0.8572146755986991,3.075966860519337,1.1134729239530512,1.9707804582856596,0.8151656021749983
MLB 2025 Live SP Andre Pallante STL,72527,72,1,,,,2025,N,St. Louis Cardinals,STL,Pallante,Andre,,The United States,53,18,9,1998,1,1,1,11,17,24,3,22,12,23,18,25,4,23,13,24,17,24,3,22,12,23,0,0,0,16,14,10,24,11,14,60,103,70,112,87,57,96,69,105,78,63,109,72,117,94,74,64,57,0,0,64,0,0,0,0,0,0,58,51,0,0.0,4,183,24,25,65,22,1,1,2,8,17,21,66,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,2,5,0,1,pallaan01,0,179,139,0,2025-03-14,,12,64.45135236814484,65.72773818101992,57.087432059748636,59.328325436373106,52.91924223555335,55.648363112100036
MLB 2025 Live RP Daniel Palencia CHC,73295,50,1,,,,2025,N,Chicago Cubs,CHC,Palencia,Daniel,,Venezuela,48,5,2,2000,1,1,1,12,19,10,1,17,17,21,20,11,2,18,19,22,19,10,1,17,17,21,0,0,0,19,15,15,27,42,19,87,67,50,56,91,78,62,50,53,80,95,73,51,60,100,135,119,0,0,0,0,83,0,0,0,0,0,23,46,4,0.0,3,180,29,25,45,21,1,1,2,10,17,31,68,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,0,1,palenda01,35,277,212,0,2025-05-05,,12,54.10883157898108,54.814184556253544,51.588252246765045,53.40117755080371,52.571333135861344,55.27392652042606
MLB 2025 Live 2B Richie Palacios TB,71890,66,1,,,,2025,N,Tampa Bay Rays,TBD,Palacios,Richie,,The United States,1,16,5,1997,2,1,4,0,74,89,40,99,83,66,71,85,39,92,78,65,75,90,41,101,85,67,1,1,0,65,58,85,71,53,58,1,23,1,1,69,1,23,1,1,68,1,24,1,1,70,5,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0.0,4,178,60,64,44,61,2,2,1,60,60,43,0,0,0,61,6,5,34,4,23,0,1,1,1,1,1,1,1,8,1,2,0,1,palacri01,0,32,33,0,2025-03-14,,12,10.119446120662204,8.396050437260106,9.078683109573664,7.583344456295621,10.187343882756867,9.658228363843675
MLB 2025 Live RF Josh Palacios CWS,72511,61,1,,,,2025,N,Chicago White Sox,CHW,Palacios,Josh,,The United States,77,30,7,1995,2,1,9,0,76,77,64,63,76,78,74,75,61,60,72,77,78,78,66,64,77,79,1,1,0,66,52,75,64,59,53,1,21,1,1,61,1,21,1,1,61,1,21,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,4,185,30,19,65,16,27,27,55,72,64,69,0,0,0,0,0,0,29,7,77,1,1,0,1,0,1,1,1,8,1,2,0,0,palacjo01,0,29,29,0,2025-03-14,,12,8.866525597694912,7.073953475240903,7.751654814033096,6.153041534133742,8.893008272707636,8.26520180967152
Mission - Negro League Star 1 SP Satchel Paige KCM 1944,72934,100,2,,ME,,1944,N,Kansas City Monarchs,KCM,Paige,Satchel,,The United States,29,7,7,1906,1,1,1,11,29,48,2,43,26,34,23,48,2,62,23,25,31,48,2,37,27,38,0,1,0,32,5,11,29,28,12,129,122,110,121,124,122,121,109,119,126,135,122,111,122,124,124,89,137,136,0,0,0,103,129,0,0,0,90,86,2,0.0,3,191,29,25,26,25,1,1,1,2,11,8,63,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,200,0,0,paigesa01,111112,499999,134637,0,2025-04-17,,12,92.84156142117452,95.68543178732098,91.43718613174373,96.35131416224883,91.35047061757928,97.00990893527359
Snapshot 3B Mike Pagliarulo NYY 1985,71005,62,7,,,,1985,N,New York Yankees,NYY,Pagliarulo,Mike,,The United States,6,15,3,1960,2,1,5,0,47,83,100,91,56,39,34,77,94,116,41,31,53,87,103,83,61,43,1,0,0,25,4,6,24,17,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0.0,3,188,54,61,68,45,0,0,0,3,3,4,0,0,0,0,54,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,0,1,paglimi01,0,149,129,469,2025-03-14,,12,2.9540834499142656,0.835072669631214,3.079493703589874,1.1172742399963849,1.8434322358889814,0.6781072889771981
Snapshot C Jim Pagliaroni BOS 1962,71181,76,7,,,,1962,N,Boston Red Sox,BOS,Pagliaroni,Jim,Pag,The United States,29,8,12,1937,1,1,2,0,57,109,87,116,60,55,73,90,92,139,70,77,53,116,86,111,58,48,0,1,0,19,16,67,25,16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,21,2,0.0,3,193,10,8,1,9,63,68,52,4,3,3,0,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,5,0,1,pagliji01,150,250,240,2187,2025-03-14,,12,3.0223754011493957,0.9071351664961377,3.189547346790947,1.2358926959811039,1.8434322358889814,0.6781072889771981
MLB 2025 Live C Pedro Pages STL,72546,40,1,,,,2025,N,St. Louis Cardinals,STL,Pages,Pedro,,Venezuela,43,17,9,1998,1,1,2,0,65,69,59,57,68,65,68,71,61,59,72,67,65,69,59,57,67,65,2,2,0,29,12,16,24,49,46,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0,3,185,27,35,57,13,66,67,64,42,41,55,0,64,6,0,0,0,0,0,0,1,1,0,1,0,1,0,1,8,0,1,0,1,pagespe02,0,10,9,0,2025-03-14,,12,8.591020419780572,6.783237063414183,7.563969926279397,5.950750260992208,8.709002410803894,8.067165805898513
MLB 2025 Live CF Andy Pages LAD,72630,77,1,,,,2025,N,Los Angeles Dodgers,LAD,Pages,Andy,,Cuba,84,8,12,2000,1,1,8,0,74,92,91,71,68,79,75,93,93,73,70,81,74,92,90,71,68,79,2,2,0,69,18,58,62,53,39,1,23,1,1,68,1,23,1,1,67,1,23,1,1,69,5,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0.0,4,185,18,27,81,5,1,1,1,61,62,84,0,0,0,0,0,0,26,40,29,0,1,0,1,0,1,1,1,8,2,5,0,1,pagesan01,104,275,226,0,2025-03-14,,12,9.827635098930484,8.088127900879643,8.783096750661935,7.264754389811457,9.921452405456094,9.372063102274495
MLB 2025 Live CL Emilio Pagan CIN,72436,51,1,,,,2025,N,Cincinnati Reds,CIN,Pagan,Emilio,Emiliooooo,The United States,15,7,5,1991,2,1,1,13,16,19,13,16,17,16,16,19,13,16,16,16,17,20,14,17,18,17,0,0,0,25,21,22,33,52,24,77,55,88,26,114,77,55,88,26,114,77,55,88,26,113,93,0,0,0,77,0,72,0,0,0,0,0,15,53,4,0.0,3,191,28,32,47,10,2,2,1,15,24,30,72,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8,0,1,0,1,paganem01,0,10,14,0,2025-03-14,,12,50.989511225917475,51.52263981199228,47.233344177666886,48.70735319309466,56.08845195810812,59.0592198211196
Clubhouse - Negro League Star 1 SP Juan Padron CAG 1922,73057,83,2,,CS,,1922,N,Chicago American Giants,CAG,Padron,Juan,,The United States,77,20,10,1892,2,2,1,11,57,39,58,45,57,59,49,31,48,38,48,52,60,42,61,48,60,63,0,1,0,18,4,11,29,28,9,63,95,96,96,93,68,103,103,103,103,62,92,94,94,89,0,69,73,93,0,74,57,0,0,0,0,0,77,60,2,0.0,3,183,29,25,26,25,1,1,1,55,59,65,63,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,1,1,3,10,0,0,padroju01,1907,0,18613,0,2025-04-17,,12,67.15992047780888,68.5858521663572,65.54468463189369,68.4437550832388,64.03076624764628,67.60712240605022
All-Time Legend SP Vicente Padilla PHI Peak,71354,73,4,,,,2002,Y,Philadelphia Phillies,PHI,Padilla,Vicente,,Nicaragua,44,27,9,1977,1,1,1,11,15,59,1,56,8,23,10,56,1,73,5,14,19,61,1,52,10,26,0,0,0,16,4,6,28,25,7,68,83,70,83,83,57,74,53,70,83,76,94,87,100,83,64,70,63,86,47,0,52,0,0,0,0,0,57,115,2,0.0,4,183,29,16,22,23,0,0,0,4,4,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,padilvi01,101,318,310,1856,2025-03-14,,12,64.1443301285835,65.4037645827305,61.005053939101074,63.55083225163325,60.57116208086887,63.8837291579403
Rookie Sensation RF Don Padgett STL 1937,71610,68,3,,,,1937,N,St. Louis Cardinals,STL,Padgett,Don,,The United States,4,5,12,1911,2,1,9,0,82,68,78,52,82,81,55,80,82,45,55,57,99,64,77,54,97,94,1,0,0,51,22,67,46,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0.0,3,183,3,3,3,7,0,0,0,54,44,60,0,0,0,0,0,0,0,4,52,1,0,0,0,0,1,0,1,1,1,2,0,0,padgedo01,0,66,81,1618,2025-03-14,,12,2.8402635311890485,0.7149685081896738,2.896070964921419,0.9195768133551862,1.8434322358889814,0.6781072889771981
Unsung Heroes C Tom Padden PIT 1934,70514,62,8,,,,1934,N,Pittsburgh Pirates,PIT,Padden,Tom,,The United States,31,6,10,1908,1,1,2,0,76,58,21,88,71,80,65,71,21,79,70,62,79,55,21,91,72,90,1,2,0,54,31,63,61,18,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,25,2,0.0,3,183,6,10,1,1,48,75,47,3,8,8,0,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,paddeto01,63,88,63,818,2025-03-14,,12,3.2482347186197713,1.1454646630583947,3.5161814333236285,1.5879467478919271,1.9707804582856596,0.8151656021749983
T4 Ep. 1 - Rookie Sensation SP Chris Paddack SD 2019,72971,84,3,,,T4 Ep. 1,2019,N,San Diego Padres,SDP,Paddack,Chris,,The United States,59,8,1,1996,1,1,1,11,3,2,1,2,1,1,3,2,1,2,1,1,3,2,1,2,1,1,0,1,0,20,3,6,35,30,27,87,97,97,71,150,74,95,87,70,145,101,100,105,73,154,100,73,98,111,0,0,0,0,0,0,0,0,72,118,4,0.0,3,196,28,20,23,23,0,0,0,7,10,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,0,paddach01,4504,11500,4874,0,2025-05-28,,12,75.02759389069095,76.88791676395513,73.06411397328229,76.54837636081058,71.23762106254468,75.36348795086828
MLB 2025 Live SP Chris Paddack MIN,72060,61,1,,,,2025,N,Minnesota Twins,MIN,Paddack,Chris,,The United States,20,8,1,1996,1,1,1,11,27,16,1,17,36,17,28,17,1,18,37,18,27,16,1,17,36,17,1,1,0,20,18,16,26,33,12,67,69,90,73,63,64,67,89,70,61,68,71,92,75,63,82,77,75,75,0,0,0,0,0,0,0,0,60,33,4,0.0,3,196,17,25,57,9,2,2,4,33,17,48,55,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,8,1,2,0,1,paddach01,0,47,47,0,2025-03-14,,12,56.37860095855967,57.20927278907947,53.41414344228288,55.369166870454926,52.310810368324354,54.99353932383828
Rookie Sensation 3B Jordan Pacheco COL 2012,71677,62,3,,,,2012,N,Colorado Rockies,COL,Pacheco,Jordan,,The United States,22,30,1,1986,1,1,5,0,110,95,26,37,105,106,136,55,16,62,132,122,104,114,29,29,98,101,1,1,0,48,31,73,51,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0.0,3,185,50,50,65,39,44,56,55,7,5,4,0,44,76,0,45,0,0,0,0,1,1,0,1,0,0,0,0,6,1,2,0,1,pachejo01,0,100,177,600,2025-03-14,,12,2.7474270762288167,0.6170063527156197,2.7091213831824277,0.7180780706706552,1.9707804582856596,0.8151656021749983
Unsung Heroes LF Charlie Pabor BR2 1873,70447,59,8,,,,1873,N,Brooklyn Atlantics,LAD,Pabor,Charlie,,The United States,59,24,9,1846,2,2,7,0,84,61,34,72,78,89,79,60,33,68,75,85,87,62,35,74,80,90,1,0,0,35,23,67,25,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,12,0,2,0,0,0,0,0,0,0,0,1,10,2,0.0,3,173,2,2,1,6,0,0,0,48,48,55,0,0,0,0,0,0,53,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,paborch01,0,32,20,306,2025-03-14,,12,2.7037561367179315,0.5709242466302898,2.8211120104222402,0.8387842545057149,1.916234360685688,0.7564604550761435
MLB 2025 Live DH Marcell Ozuna ATL,72262,91,1,,,,2025,N,Atlanta Braves,ATL,Ozuna,Marcell,The Big Bear,Dominican Republic,20,12,11,1990,1,1,10,0,75,72,103,97,69,82,77,73,106,100,71,84,75,72,102,96,69,82,2,2,0,23,5,16,29,50,43,1,22,1,1,66,1,22,1,1,66,1,22,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,3,185,23,29,42,16,0,0,0,39,36,43,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,1,8,4,50,0,0,ozunama01,1001,4009,4041,0,2025-03-14,,12,9.378217530963962,7.613897021590176,8.41241690024834,6.865226757269815,9.621065529673116,9.048772225285811
Clubhouse - Unsung Heroes SS Ray Oyler DET 1967,73445,41,8,,CS,,1967,N,Detroit Tigers,DET,Oyler,Ray,Oil Can Harry,The United States,1,4,8,1937,1,1,6,0,60,61,22,75,55,69,68,61,13,90,55,81,59,62,25,72,56,65,0,0,0,40,19,6,65,85,66,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,29,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0.0,3,180,114,67,98,91,0,0,0,5,6,6,0,0,0,0,0,106,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,oylerra01,2291,0,4462,0,2025-05-08,,12,3.625769390391383,1.5438438367222258,3.5234153434683066,1.5957436297318692,2.30724158748137,1.1772813345842648
Snapshot SS Chris Owings ARI 2016,70982,54,7,,,,2016,N,Arizona Diamondbacks,ARI,Owings,Chris,C.O.,The United States,16,12,8,1991,1,1,6,0,76,100,28,46,78,76,76,95,19,49,79,75,77,102,31,45,78,77,0,0,0,99,78,102,104,11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,0,18,0,0,0,0,0,0,0,0,0,1,18,2,0.0,3,178,57,58,57,58,0,0,0,68,44,110,0,0,0,7,0,40,0,53,0,0,0,1,0,1,0,1,1,7,0,1,0,1,owingch01,6,38,39,385,2025-03-14,,12,3.854796107826284,1.785515612219049,4.380568139611362,2.5196034699346197,2.5773274595975915,1.4679608066188246
MLB 2025 Live SP Johan Oviedo PIT,72515,60,1,,,,2025,N,Pittsburgh Pirates,PIT,Oviedo,Johan,,Cuba,24,2,3,1998,1,1,1,11,27,26,7,17,37,15,28,26,7,17,38,15,27,26,7,17,37,15,1,1,0,20,15,21,23,52,39,67,87,70,83,95,65,82,70,79,89,69,91,71,87,100,90,81,72,65,0,0,0,0,0,0,0,0,55,52,2,0.0,3,196,28,51,50,23,2,2,4,3,3,3,84,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,1,2,0,1,oviedjo01,0,26,33,0,2025-03-14,,12,60.5054284273392,61.56395128562864,56.71832178036645,58.93048952513109,54.64152288977299,57.5019648104831
Cubs Live 2 - Snapshot SP Orval Overall CHC 1909,72741,97,7,,ME,Cubs Live 2,1909,N,Chicago Cubs,CHC,Overall,Orval,,The United States,32,2,2,1881,3,1,1,11,57,93,70,70,47,68,56,115,10,42,24,82,58,86,89,79,55,64,0,0,0,64,76,71,54,39,84,118,92,88,92,94,128,93,84,90,100,112,92,91,94,89,85,0,143,0,0,0,0,0,140,0,0,0,93,66,2,0.0,3,188,26,21,22,20,0,0,0,4,2,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,0,0,overaor01,4050,4500,4938,0,2025-03-14,,12,71.63333707270661,73.30625572072931,67.1929789708596,70.22032625171225,63.027683609781924,66.52755638026427
MLB 2025 Live CF James Outman LAD,72631,77,1,,,,2025,N,Los Angeles Dodgers,LAD,Outman,James,,The United States,33,14,5,1997,2,1,8,0,62,70,83,94,53,75,59,67,76,83,49,73,63,71,87,98,54,76,3,2,0,78,53,81,75,35,36,1,20,1,1,60,1,20,1,1,59,1,21,1,1,62,9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0,3,191,25,24,20,14,3,3,4,85,77,78,0,0,0,0,0,0,19,81,12,0,1,0,0,0,1,1,1,8,2,5,0,1,outmaja01,0,166,141,0,2025-03-14,,12,9.104780554026458,7.325363000568137,8.057358167147163,6.48253593959826,8.98258432176629,8.36160788394447
Snapshot LF Jimmy Outlaw DET 1945,70932,52,7,,,,1945,N,Detroit Tigers,DET,Outlaw,Jimmy,,The United States,27,20,1,1913,1,1,7,0,75,59,19,72,93,62,102,61,16,80,106,90,70,59,21,69,89,55,0,2,0,62,59,56,63,15,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0.0,3,173,85,53,94,37,0,0,0,48,51,104,0,0,0,0,41,0,65,9,13,0,0,0,1,0,1,1,1,1,0,1,0,0,outlaji01,0,28,29,330,2025-03-14,,12,2.952302929934207,0.833193843310391,3.0392823127856463,1.073933438624812,1.9707804582856596,0.8151656021749983
Nolan Ryan Mission - Historical All-Star CF Amos Otis KC 1973,72780,95,5,,,Nolan Ryan Mission,1973,N,Kansas City Royals,KCR,Otis,Amos,A.O.,The United States,26,26,4,1947,1,1,8,0,92,78,117,77,113,74,118,72,138,99,145,92,84,80,112,72,106,69,1,0,0,74,63,69,95,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0.0,3,180,8,6,8,7,0,0,0,69,76,74,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,1,0,3,4,75,0,0,otisam01,35000,68000,56881,45956,2025-03-14,,12,3.020594881169337,0.9052563401753148,3.149335955986719,1.1925518946095306,1.9707804582856596,0.8151656021749983
Snapshot CF Amos Otis KC 1978,70882,95,7,,,,1978,N,Kansas City Royals,KCR,Otis,Amos,A.O.,The United States,26,26,4,1947,1,1,8,0,74,117,101,98,84,65,72,117,88,129,109,43,75,117,106,89,78,73,2,0,0,80,83,89,92,5,69,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,29,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0.0,3,180,5,5,9,5,0,0,0,79,110,86,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,1,0,3,4,75,0,0,otisam01,4775,5600,5522,20070,2025-03-14,,12,3.489185487921122,1.399718842992378,3.303308057066161,1.3585067177624315,2.30724158748137,1.1772813345842648
MLB 2025 Live RP Michel Otanez ATH,72128,61,1,,,,2025,N,Athletics,OAK,Otanez,Michel,,Dominican Republic,47,3,7,1997,1,1,1,12,15,13,18,11,13,17,16,14,20,12,14,18,15,13,18,11,13,17,2,2,0,15,16,11,18,45,33,109,72,45,68,80,98,66,45,63,74,119,76,46,71,87,151,137,0,100,0,0,0,0,0,0,0,0,16,47,3,0.0,3,193,23,50,52,33,1,1,4,1,1,1,82,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,1,2,0,1,otanemi01,0,50,37,0,2025-03-14,,12,58.06142019371208,58.985004096563664,54.69265553885312,56.747177869835184,55.971512350253455,58.93336376206407
Snapshot SP Claude Osteen LAD 1969,70639,92,7,,,,1969,N,Los Angeles Dodgers,LAD,Osteen,Claude,,The United States,23,9,8,1939,2,2,1,11,24,26,26,34,22,26,15,26,16,37,13,16,26,27,29,34,25,29,1,0,0,13,5,6,21,39,4,59,99,92,100,98,64,105,100,103,110,58,98,90,100,94,0,72,68,71,0,72,0,0,0,0,0,0,96,98,0,0.0,4,180,29,39,30,22,0,0,0,7,9,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,50,0,0,osteecl01,0,4999,4764,17228,2025-03-14,,12,67.3389372438039,68.77475283334601,64.68243656264873,67.51440343549031,60.80914790639749,64.13986100806018
Unsung Heroes SP Tiny Osborne BRO 1925,70401,57,8,,,,1925,N,Brooklyn Robins,LAD,Osborne,Tiny,,The United States,13,9,4,1893,2,1,1,11,5,4,3,5,2,3,5,7,3,9,1,6,5,4,3,4,3,3,0,1,0,5,5,6,5,26,46,76,70,52,72,66,55,66,37,67,64,100,73,62,77,67,71,0,99,0,0,77,0,0,0,0,0,0,59,33,4,0.0,3,183,30,20,24,23,0,0,0,5,6,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,osborti01,6,19,15,425,2025-03-14,,12,52.443107176637184,53.05649192409478,47.67387940047759,49.18217262130037,45.65029569738699,47.82517145306939
Snapshot SP Donovan Osborne STL 1996,70622,71,7,,,,1996,N,St. Louis Cardinals,STL,Osborne,Donovan,,The United States,31,21,6,1969,3,2,1,11,6,10,6,6,2,6,4,6,3,10,1,3,6,12,7,5,3,7,0,0,0,10,3,9,14,42,52,64,86,75,74,110,81,90,105,75,121,58,84,68,73,106,63,75,0,90,0,0,0,0,0,0,0,0,76,115,3,0.0,4,188,28,20,24,23,0,0,0,5,3,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,1,osbordo01,174,698,334,1920,2025-03-14,,12,60.15742199123687,61.19673066508652,58.78240006264801,61.15520259917717,57.96174267868331,61.0753458530274
Unsung Heroes SP Bob Osborn CHC 1927,70409,68,8,,,,1927,N,Chicago Cubs,CHC,Osborn,Bob,,The United States,12,17,4,1903,1,1,1,11,4,2,2,2,1,2,4,3,2,2,1,2,4,2,2,2,1,2,0,0,0,5,5,6,5,28,36,88,71,51,81,52,76,63,40,69,53,101,85,58,103,51,74,0,92,0,0,0,0,106,0,0,0,0,63,60,3,0.0,4,185,27,20,23,23,0,0,0,7,10,7,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,osborbo01,0,38,39,538,2025-03-14,,12,54.42433979744739,55.1471126626098,49.088199526763994,50.70656077210146,51.41492272874339,54.02934173721433
MLB 2025 Live RP Eric Orze TB,73291,48,1,,,,2025,N,Tampa Bay Rays,TBD,Orze,Eric,,The United States,37,21,8,1997,1,1,1,12,16,15,3,16,17,15,17,15,3,17,18,16,16,15,3,16,17,15,0,0,0,10,15,4,11,11,23,78,62,59,52,83,72,58,59,50,76,84,67,60,54,93,90,92,0,0,0,0,86,0,0,0,0,0,21,31,2,0.0,3,193,21,19,40,15,2,2,1,8,16,21,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,orzeer01,9,165,92,0,2025-05-05,,12,49.984702851171335,50.46235380397227,46.76424802928495,48.201750114350766,49.03998975924045,51.47332406667316
Rookie Sensation SP Ossie Orwoll PHA 1928,71702,64,3,,,,1928,N,Philadelphia Athletics,OAK,Orwoll,Ossie,,The United States,41,17,11,1900,2,2,1,11,65,83,1,76,37,92,58,88,1,80,18,101,66,81,1,75,44,89,0,2,1,49,43,72,46,23,47,102,68,50,68,70,104,52,34,44,70,101,72,55,73,71,74,0,142,61,0,0,0,0,0,0,0,0,63,44,3,0.0,3,183,27,20,23,23,0,0,0,3,10,10,55,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,orwolos01,0,30,29,669,2025-03-14,,12,52.933507396144705,53.57396819533418,49.236433430728674,50.86633082878875,48.19885924525018,50.56805874567319
